Cedula;Nombre;Telefono;E-mail;Estado;Mz;Villa;Habitantes con Residente
945438699;Lissette Cabelló;943689799; liscabello@espol.edu.ec;ACTIVO;233;21;1
943928174;Amanda Sheffield;943256788; amanda@she.com;ACTIVO;233;20;1
943928175;Antonio Beltran;943256789; anto@belt@ucsg.ec;INACTIVO;235;22;1
943928176;Austin Schuchart;943256790; austin@schu@mineduc.ec;INACTIVO;233;24;1
943928177;Barbara Snyder;943256791; barbita@snyder.com;ACTIVO;233;26;1
943928178;Bryant Paul;943256792; bryant@paul.com;ACTIVO;231;28;1
943928179;Candice Ramey;943256793; candi@perreo.com;INACTIVO;233;30;1
943928180;Carlos Garcia;943256794; carl@junior.com;INACTIVO;253;32;1
943928181;Charles Darwin;943256795; charls@espol.edu.ec;INACTIVO;233;34;1
943928182;Desiree Martinez;943256796; desiree@deseo.es;ACTIVO;243;36;1
943928183;Herin snyder;943256797; herin@snyd.edu.ec;ACTIVO;233;38;1
943928184;Evan Kwan;943256798; evan@kwan.com;INACTIVO;233;40;1
943928185;Fabian Vasquez;943256799; fabi@outlook.es;ACTIVO;233;42;1
