Cedula;Nombre;Telefono;E-mail;Estado;Empresa;Historial de Sanciones
1783245655;Marcos Aguilar;945432876;marcos@dunkin.com;ACTIVO;Dunkin Donuts;ninguno | Ninguna
1243245677;Johanna Guerrero;945432311;jguerrero@espol.edu.ec;ACTIVO;ESPOL;Exonera a los autores del proyecto | hola
1243245678;Juliana Mercado;945432312;andres@gmail.com;INACTIVO;No Aplica;ninguno
1243245679;Estevan Salvatore;945432313;estevan@divampiro.us;ACTIVO;Banco de Sangre;Me la queria chupar
1243245680;Pepito Cachonditop;945432314;andres@gmail.com;INACTIVO;No Aplica;ninguno
1243245681;Pinocho Palotieso;945432315;pinotieso@outlook.es;INACTIVO;Maderera Gepetto;Se puso tieso al verme
1243245682;Priscila Preciositap;945432316;andres@gmail.com;INACTIVO;No Aplica;ninguno
1243245683;Napoleon Bonaparte;945432317;napoleon@conquiston.com;INACTIVO;Marisqueria La Conquista Espanola;Conquisto mi corazon
1243245684;Andres Carrera;945432318;andres@gmail.com;ACTIVO;No Aplica;ninguno
1243245685;Pepita Pork;945432319;pepa@pig.com;INACTIVO;Carniceria Chanchito Rico;ninguno
1243245686;Adriana Pincay;945432320;adri@gmail.com;ACTIVO;No Aplica;ninguno
1243245687;Jacobo Pincay;945432321;cyberplay.net@hotmail.com;ACTIVO;CyberPlay.Net;ninguno
1243245688;Daniel Rodriguez;945432322;gerente@cyber.com;INACTIVO;CyberPlay.Net;ninguno
1243245689;Armando Paredes;945432323;armo@paredes.gratis.com;ACTIVO;Albanil;Nos cobro por armar la pared
1243245690;Preciosa Mariscal;945432324;preciosa@obvio.com;ACTIVO;No Aplica;Esta fea
1243245691;Rafael Correa;945432325;rafita@expresi.com;ACTIVO;No Aplica;Se fugo del pais
1243245692;Alexander Coronel;945432326;alexito@bellakito.com;ACTIVO;Creditos Economicos;Insistia en quedarse en garita
1243245693;Andres Carrera;945432327;andres@gmail.com;ACTIVO;No Aplica;Miro feo la guardia
